event_id;event_date;trading_date;ticker;publisher;studio;is_rockstar;game;franchise;event_type;sentiment;impact_expectation_manual;adj_close;return;market_return;AR_event;CAR_m1_p1;CAR_m5_p5;CAR_0_1;CAR_0_3;CAR_0_5;impact_label
TTWO_2023_STRONG_Q4;2023-02-06;2023-02-06;TTWO;Take-Two;; ; ;TTWO;Earnings;positive;high;105.55999755859376;-0.0340410071582821;-0.0061404630177543;-0.0288189609023784;0.0370767209600135;-0.021515096640845;0.03707672096001351;0.028717000134551807;0.028092989103535207;High
TTWO_EARN_2023Q4;2023-05-17;2023-05-17;TTWO;Take-Two;Earnings;1;;;Earnings;;;125.0199966430664;0.0078193757956128;0.0118908290587882;-0.003896341910192;0.1008362388867439;0.0775219189879688;0.1035467649093732;0.0886029115548626;0.086601553209909;High
TTWO_2023_GTA6_TRAILER1;2023-12-05;2023-12-05;TTWO;Take-Two;Rockstar Games;1;GTA VI;GTA;Trailer/Reveal;Positive;High;156.75999450683594;-0.0050774502675421;-0.0005688697261614;-0.0050891017224313;0.0043671472635292;-0.0254882158136055;0.0016066053357501999;-0.023388155507788;-0.023388155507788;Low
TTWO_EARN_2024Q3;2024-02-08;2024-02-08;TTWO;Take-Two;Earnings;1;;;Earnings;;;169.60000610351562;0.000176910880469;0.0005705832608251;-0.000905090145439;-0.0843487393407138;-0.0827992896400102;-0.09346077961872061;-0.09346077961872061;-0.08995641380890382;High
TTWO_2024_STRONG_RESULTS_GTA6_HYPE;2024-05-16;2024-05-16;TTWO;Take-Two;; ; ;TTWO;Earnings;positive;high;146.0800018310547;-0.0135062126909061;-0.0020816677921287;-0.0120968114306425;0.0082829081682616;0.0165004563451006;-0.0016888123495863994;-0.0016888123495863994;0.018152240225360803;Low
GTA6_2024_KEYART;2024-05-16;2024-05-16;TTWO;Take-Two;Rockstar;1;GTA VI;GTA;Trailer/Reveal;positive;medium;146.0800018310547;-0.0135062126909061;-0.0020816677921287;-0.0120968114306425;0.0082829081682616;0.0165004563451006;-0.0016888123495863994;-0.0016888123495863994;0.018152240225360803;Low
TTWO_2025_GTA6_DELAY1;2025-05-02;2025-05-02;TTWO;Take-Two;Rockstar Games;1;GTA VI;GTA;Delay;Negative;High;219.5;-0.0666326414549191;0.0147265741296347;-0.0810121272624043;-0.0795462496278426;-0.0144537329166704;-0.0810121272624043;-0.0490487305684224;-0.041783549572018394;High
TTWO_2025_GTA6_TRAILER2;2025-05-06;2025-05-06;TTWO;Take-Two;Rockstar Games;1;GTA VI;GTA;Trailer/Reveal;Positive;Medium;231.83999633789065;0.0289365737694573;-0.0076932396518555;0.0356172267631375;0.039228577690386;-0.0452424007190992;0.0072651809964040005;0.0023404522147614003;0.0023404522147614003;High
TTWO_2025_GTA6_DELAY2;2025-11-06;2025-11-06;TTWO;Take-Two;Rockstar Games;1;GTA VI;GTA;Delay;Negative;High;252.3999938964844;-0.0092636232581182;-0.011178189042419;0.0006906304262554;-0.0766124874306622;-0.0639600937088108;-0.0818647735036978;-0.0818647735036978;-0.06212521948687269;High
UBI_2019_GHOSTRECON_BREAKPOINT_LAUNCH;2019-10-04;2019-10-04;UBSFY;Ubisoft;Ubisoft Paris;0;Tom Clancy's Ghost Recon Breakpoint;Ghost Recon;Release;Negative;High;9.48644733428955;0.0126502112695128;0.0142168975854601;0.0033331289970328;0.006068255647586;0.0310347318686747;0.0033331289970328;-0.0111548342426687;0.003475642809599;Low
UBI_2019_UBI_PROFIT_WARNING;2019-10-24;2019-10-24;UBSFY;Ubisoft;Ubisoft;0;Multiple titles;Portfolio;Major Announcement;Negative;High;8.607523918151855;-0.0129105384443681;0.0019204463587332;-0.0143994374082381;-0.0516485978066839;-0.0451495352274862;-0.04685916843892041;-0.04685916843892041;-0.033926313566855604;High
UBI_2020_SKULLBONES_DELAY;2020-07-12;2020-07-10;UBSFY;Ubisoft;Ubisoft Singapore;0;Skull and Bones;Skull and Bones;Delay;negative;medium;11.31539821624756;-0.0105353933560156;0.0104662012732443;-0.0174647023005995;-0.0213397961895373;-0.01256060850989;-0.0174647023005995;-0.022069087939762297;-0.034937506360922896;Medium
UBI_2020_AC_VALHALLA_RELEASE;2020-11-10;2020-11-10;UBSFY;Ubisoft;Ubisoft Montreal;0;Assassin's Creed Valhalla;Assassin's Creed;Release;Positive;Medium;12.721675872802734;-0.0285068035105486;-0.001399794593191;-0.0278819662166012;-0.1198268221239227;-0.0667606874139605;-0.050408222422822405;-0.018167161090182703;-0.018167161090182703;High
UBI_2023_AC_MIRAGE_ANNOUNCEMENT;2022-09-10;2022-09-09;UBSFY;Ubisoft;Ubisoft Bordeaux;0;Assassin's Creed Mirage;Assassin's Creed;Trailer/Reveal;Positive;Medium;10.092806816101074;0.0098815585177989;0.0152714498163328;-0.0001068742134078;0.0033864186761683;0.0661239152692281;-0.0001068742134078;0.0065871261119828;0.0742176526607189;Low
UBI_2022_SKULL_AND_BONES_DELAY;2022-09-28;2022-09-28;UBSFY;Ubisoft;Ubisoft Singapore;0;Skull and Bones;Skull and Bones;Delay;Negative;Medium;10.2982177734375;0.0032711291081435;0.0196721399262347;-0.0095188768761511;0.0010160599082433;-0.0575664110026166;-0.008802040045747101;-0.009575732351999102;-0.0433890918743079;Low
UBI_EARN_FY2023;2023-05-16;2023-05-16;UBSFY;Ubisoft;Earnings;0;;;Earnings;;;10.57670783996582;-0.0009328125437749;-0.006377683373153;0.0028610549964533;0.0180958418569758;0.0211693225619429;0.0165000589958992;0.0017666988610723997;0.0017666988610723997;Medium
UBI_2023_ASSASSINSMIRAGE_RELEASE;2023-10-05;2023-10-05;UBSFY;Ubisoft;Ubisoft Montreal;0;Assassin's Creed Mirage;Assassin's Creed;Release;positive;medium;10.260690689086914;0.0166340123262851;-0.0013040301597772;0.0171978839379078;0.0156098935397767;0.0072489554754126;0.017109673685135583;0.017109673685135583;0.016875519691725085;Medium
UBI_EARN_H1_2024;2023-11-07;2023-11-07;UBSFY;Ubisoft;Earnings;0;;;Earnings;;;10.84334659576416;0.0280898195709429;0.0028401189192852;0.0260154374253682;0.0472243854599307;0.0578864488589673;0.0597177818430417;0.0585861750671791;0.0585861750671791;High
UBI_EARN_FY2024;2024-05-16;2024-05-16;UBSFY;Ubisoft;Earnings;0;;;Earnings;;;13.509743690490724;0.0201342306044598;-0.0020816677921287;0.0211931629308755;0.0036062119159926;0.0508917402085197;0.0172614376854496;0.0172614376854496;-2.4643554613100645e-05;Low
